Linux 5.4.0-167-generic (yq3) 	12/28/2023 	_x86_64_	(96 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           2.07    0.00    0.95    0.57    0.00   96.41

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00        685          0          0
loop1             0.00         0.00         0.00         0.00       3090          0          0
loop2             0.90         0.90         0.00         0.00    1674443          0          0
loop3             0.00         0.00         0.00         0.00       1619          0          0
loop4             0.00         0.00         0.00         0.00       4598          0          0
loop5             0.00         0.00         0.00         0.00       1311          0          0
nvme0n1        3216.66    138573.51      1595.41      1138.37 256602720063 2954294336 2107979228
nvme1n1          89.79      3559.19       628.02      1215.08 6590703026 1162939084 2250020800
nvme2n1         140.94      2273.38      1922.06       573.96 4209720183 3559162104 1062818928
sda               0.00         0.01         0.00         0.00      18033         32          0
sdb               0.00         0.01         0.00         0.00      18033         32          0


